ImageURL,Caption,Category
https://static.wixstatic.com/media/9c6945_296bb6ee3d5d4b0eb54b905b99319463~mv2.jpeg,Game day,sport
https://static.wixstatic.com/media/9c6945_b77d8e1936f34c399f4e40a59610ccc2~mv2.jpeg,Community fundraising,community
https://static.wixstatic.com/media/9c6945_97a223ab5a33427eac8f0244d8e4cfb1~mv2.jpeg,SAM gym,facilities
